node_id,cycle_id,FFc,dFF,rho_recv,tau,lambda_t_norm,is_attacker
122,4,1.0,1.0,1.0,1.0,0.0,1
123,4,1.0,0.0,1.0,1.0,0.0,0
124,4,1.0,0.0,1.0,1.0,0.0,0
126,4,1.0,0.0,1.0,1.0,0.0,0
127,4,0.07145,0.2571,0.9643,1.0,0.0,1
128,4,1.0,0.0,1.0,1.0,0.0,0
129,4,1.0,0.0,1.0,1.0,0.0,1
130,4,1.0,0.0,1.0,1.0,0.0,0
132,4,1.0,0.0,1.0,1.0,0.0,1
137,4,1.0,0.0,1.0,1.0,0.0,0
138,4,0.0,0.0,1.0,1.0,0.0,1
140,4,1.0,0.0,1.0,1.0,0.0,0
141,4,1.0,0.8333,1.0,1.0,0.0,0
143,4,1.0,0.0,1.0,1.0,0.0,0
145,4,0.0,0.0,1.0,1.0,0.0,1
149,4,1.0,0.0,1.0,1.0,0.0,0
153,4,1.0,0.8333,1.0,1.0,0.0,0
154,4,1.0,0.0,1.0,1.0,0.0,1
155,4,1.0,0.1667,1.0,1.0,0.0,0
163,4,1.0,0.0,1.0,1.0,0.0,0
165,4,1.0,0.8333,1.0,1.0,0.0,0
168,4,1.0,0.9167,1.0,1.0,0.0,1
169,4,0.0,0.0,1.0,1.0,0.0,1
171,4,1.0,0.0,1.0,1.0,0.0,0
184,4,1.0,0.0,1.0,1.0,0.0,0
187,4,1.0,0.0,1.0,1.0,0.0,1
188,4,1.0,0.0,1.0,1.0,0.0,0
191,4,1.0,0.0,1.0,1.0,0.0,0
192,4,1.0,0.4773,1.0,1.0,0.0,0
194,4,1.0,0.8571,1.0,1.0,0.0,0
195,4,1.0,1.0,1.0,1.0,0.0,1
197,4,0.0,0.0,1.0,1.0,0.0,1
198,4,1.0,0.4167,1.0,1.0,0.0,0
240,4,1.0,0.0,1.0,1.0,0.0,0
241,4,1.0,0.0,1.0,1.0,0.0,0
247,4,1.0,0.6667,1.0,1.0,0.0,0
249,4,0.0,0.0,1.0,1.0,0.0,1
250,4,1.0,0.2667,1.0,1.0,0.0,0
251,4,1.0,0.2735,1.0,1.0,0.0,0
252,4,1.0,0.0,1.0,1.0,0.0,0
258,4,1.0,0.375,1.0,1.0,0.0,0
259,4,0.0,0.0,1.0,1.0,0.0,1
260,4,1.0,0.0,1.0,1.0,0.0,0
261,4,1.0,0.1,1.0,1.0,0.0,0
262,4,1.0,1.0,1.0,1.0,0.0,1
268,4,0.0,0.0,1.0,1.0,0.0,1
269,4,1.0,0.9,1.0,1.0,0.0,0
270,4,1.0,0.8182,1.0,1.0,0.0,0
271,4,0.0,0.0,1.0,1.0,0.0,1
272,4,1.0,0.0,1.0,1.0,0.0,0
279,4,1.0,0.0,1.0,1.0,0.0,1
280,4,1.0,0.0,1.0,1.0,0.0,0
281,4,1.0,0.0,1.0,1.0,0.0,0
290,4,1.0,0.8571,1.0,1.0,0.0,0
291,4,1.0,0.3667,0.45,1.0,0.0,0
1,5,1.0,0.0,1.0,1.0,0.004,0
3,5,1.0,0.0,1.0,1.0,0.004,1
6,5,1.0,0.0,0.6875,1.0,0.004,0
7,5,1.0,0.0,1.0,1.0,0.004,0
10,5,1.0,0.1709,1.0,1.0,0.004,0
12,5,0.0,0.0,1.0,1.0,0.004,1
17,5,1.0,0.0,1.0,1.0,0.004,0
23,5,1.0,0.0,0.6,1.0,0.004,0
29,5,1.0,0.0,0.75,1.0,0.004,0
30,5,0.875,0.125,0.25,1.0,0.004,0
31,5,1.0,1.0,1.0,1.0,0.004,1
36,5,1.0,0.0889,1.0,1.0,0.004,0
37,5,1.0,0.1984,0.6429,1.0,0.004,1
41,5,0.0,0.0,0.8333,1.0,0.004,1
42,5,1.0,0.0,1.0,1.0,0.004,0
57,5,1.0,0.1333,0.6667,1.0,0.004,0
62,5,1.0,0.1333,1.0,1.0,0.004,0
64,5,1.0,0.0,1.0,1.0,0.004,0
67,5,1.0,0.0,1.0,1.0,0.004,0
73,5,1.0,0.3333,1.0,1.0,0.004,0
75,5,1.0,0.0,0.25,1.0,0.004,0
77,5,1.0,0.5,1.0,1.0,0.004,1
78,5,1.0,0.0536,0.875,1.0,0.004,0
79,5,1.0,0.3,1.0,1.0,0.004,0
80,5,1.0,0.0,1.0,1.0,0.004,0
84,5,1.0,1.0,1.0,1.0,0.004,1
85,5,1.0,0.0,1.0,1.0,0.004,0
88,5,1.0,0.0,1.0,1.0,0.004,1
89,5,0.07690000000000001,0.3675,0.6923,1.0,0.004,1
94,5,1.0,0.1961,0.7059,1.0,0.004,0
98,5,1.0,0.0,1.0,1.0,0.004,0
108,5,0.0,0.0,0.8,1.0,0.004,1
110,5,1.0,0.0,1.0,1.0,0.004,1
111,5,1.0,0.5833,1.0,1.0,0.004,0
112,5,1.0,0.0,1.0,1.0,0.004,0
118,5,1.0,0.0,1.0,1.0,0.004,0
119,5,1.0,0.0,1.0,1.0,0.004,0
121,5,1.0,0.0,0.6299,1.0,0.004,0
122,5,1.0,1.0,1.0,1.0,0.004,1
123,5,1.0,0.0,1.0,1.0,0.004,0
124,5,1.0,0.0,1.0,1.0,0.004,0
126,5,1.0,0.0,1.0,1.0,0.004,0
127,5,0.0,0.0,1.0,1.0,0.004,1
130,5,1.0,0.0,1.0,1.0,0.004,0
132,5,1.0,0.0,1.0,1.0,0.004,1
139,5,1.0,0.0,1.0,1.0,0.004,0
140,5,1.0,0.0,1.0,1.0,0.004,0
143,5,1.0,0.0,1.0,1.0,0.004,0
145,5,0.0,0.0,1.0,1.0,0.004,1
152,5,0.0,0.0,1.0,1.0,0.004,1
154,5,1.0,0.0,1.0,1.0,0.004,1
155,5,1.0,0.0,1.0,1.0,0.004,0
159,5,1.0,0.0,1.0,1.0,0.004,0
168,5,1.0,0.76,1.0,1.0,0.004,1
184,5,1.0,0.0714,1.0,1.0,0.004,0
188,5,1.0,0.0,1.0,1.0,0.004,0
189,5,0.0,0.0,0.5,1.0,0.004,1
194,5,1.0,0.5833,1.0,1.0,0.004,0
195,5,1.0,0.8,1.0,1.0,0.004,1
197,5,0.0,0.0,1.0,1.0,0.004,1
198,5,1.0,0.0,1.0,1.0,0.004,0
240,5,1.0,0.0,1.0,1.0,0.004,0
241,5,1.0,0.1714,1.0,1.0,0.004,0
250,5,1.0,0.0,0.5625,1.0,0.004,0
251,5,1.0,0.1667,1.0,1.0,0.004,0
252,5,1.0,0.0,1.0,1.0,0.004,0
259,5,0.0,0.0,1.0,1.0,0.004,1
260,5,1.0,0.1,1.0,1.0,0.004,0
261,5,1.0,0.1399,1.0,1.0,0.004,0
262,5,1.0,1.0,1.0,1.0,0.004,1
270,5,1.0,0.0,1.0,1.0,0.004,0
271,5,1.0,0.1071,1.0,1.0,0.004,0
272,5,1.0,0.125,1.0,1.0,0.004,0
273,5,1.0,0.0,1.0,1.0,0.004,0
282,5,1.0,0.3,1.0,1.0,0.004,0
283,5,1.0,0.0,1.0,1.0,0.004,0
291,5,1.0,0.5,1.0,1.0,0.004,0
1,6,1.0,0.0,1.0,1.0,0.008,0
3,6,1.0,0.0,0.25,1.0,0.008,1
5,6,0.0,0.0,1.0,1.0,0.008,1
12,6,0.0,0.0,1.0,1.0,0.008,1
23,6,1.0,0.0,1.0,1.0,0.008,0
26,6,1.0,0.0,1.0,1.0,0.008,0
27,6,0.0625,0.075,0.8125,1.0,0.008,1
28,6,1.0,0.0,1.0,1.0,0.008,0
30,6,1.0,0.0,1.0,1.0,0.008,0
36,6,1.0,0.125,1.0,1.0,0.008,0
38,6,1.0,0.0,0.58335,1.0,0.008,0
41,6,0.0625,0.5417,0.54165,1.0,0.008,1
42,6,1.0,0.0,1.0,1.0,0.008,0
44,6,1.0,0.0,1.0,1.0,0.008,0
51,6,1.0,0.0,1.0,1.0,0.008,0
62,6,1.0,0.0,0.7143,1.0,0.008,0
67,6,0.0,0.0,1.0,1.0,0.008,1
75,6,1.0,0.0,0.5,1.0,0.008,0
78,6,1.0,0.75,1.0,1.0,0.008,0
79,6,1.0,0.8,1.0,1.0,0.008,0
110,6,1.0,0.0,1.0,1.0,0.008,1
111,6,1.0,0.0,1.0,1.0,0.008,0
118,6,1.0,0.0,1.0,1.0,0.008,0
121,6,1.0,0.0,0.9167,1.0,0.008,0
122,6,1.0,1.0,1.0,1.0,0.008,1
123,6,1.0,0.0,1.0,1.0,0.008,0
124,6,0.0,0.0,1.0,1.0,0.008,1
125,6,1.0,0.0,1.0,1.0,0.008,0
130,6,1.0,0.0,1.0,1.0,0.008,0
132,6,1.0,0.0,1.0,1.0,0.008,1
140,6,1.0,0.0,1.0,1.0,0.008,0
143,6,1.0,0.0417,1.0,1.0,0.008,0
151,6,1.0,0.0,1.0,1.0,0.008,1
154,6,1.0,0.0,1.0,1.0,0.008,1
155,6,1.0,0.0,1.0,1.0,0.008,0
168,6,1.0,0.7692,1.0,1.0,0.008,1
184,6,1.0,0.1,1.0,1.0,0.008,0
