node_id,cycle_id,FFc,dFF,DelayInfl,tau,lambda_t_norm,is_attacker,rho_recv,node_pdr,sum_abs_ff_deviation_normalized
262,5,1.0,0.5455,0.4724506325999139,1.0,0.004,0,1.0,100.0,0.5455
269,5,1.0,0.0,0.3459306498246766,1.0,0.004,0,1.0,100.0,0.0
270,5,1.0,0.2143,0.4958417430991099,1.0,0.004,0,0.4375,100.0,0.2143
271,5,0.5,0.3571,0.45194496278220936,1.0,0.004,1,1.0,50.0,0.3571
272,5,0.3333,0.1905,0.3127114647199951,1.0,0.004,1,1.0,33.33,0.1905
273,5,1.0,1.0,0.4063198474378166,1.0,0.004,1,1.0,100.0,1.0
281,5,1.0,1.0,0.41872577767752783,1.0,0.004,1,1.0,100.0,1.0
282,5,1.0,0.75,0.38038017511842026,1.0,0.004,1,1.0,100.0,0.75
283,5,1.0,0.0,0.3280907170832736,1.0,0.004,0,1.0,100.0,0.0
3,6,1.0,0.375,0.34018906227571927,1.0,0.008,0,1.0,100.0,0.375
5,6,1.0,0.0,0.39965550474706263,1.0,0.008,0,0.25,100.0,0.0
23,6,1.0,1.0,0.34541800807923395,1.0,0.008,1,0.5,100.0,1.0
27,6,1.0,0.0,0.44466544999692414,1.0,0.008,0,1.0,100.0,0.0
28,6,1.0,0.0,0.3863268193655546,1.0,0.008,1,1.0,100.0,0.0
30,6,1.0,0.0,0.44979186745135036,1.0,0.008,0,1.0,100.0,0.0
36,6,1.0,0.0,0.40519203559784284,1.0,0.008,0,1.0,100.0,0.0
41,6,1.0,0.0,0.4354378985789571,1.0,0.008,0,1.0,100.0,0.0
42,6,1.0,0.0,0.45297024627309457,1.0,0.008,0,1.0,100.0,0.0
44,6,1.0,0.0,0.363008943401422,1.0,0.008,0,0.6154,100.0,0.0
67,6,1.0,0.0,0.3686919433223287,1.0,0.008,0,0.3333,100.0,0.0
75,6,1.0,0.0,0.3715627370968073,1.0,0.008,0,0.5,100.0,0.0
108,6,1.0,0.0,0.37386962495129905,1.0,0.008,0,1.0,100.0,0.0
110,6,1.0,0.0,0.38202062870383663,1.0,0.008,0,1.0,100.0,0.0
111,6,1.0,0.0,0.39760493776529215,1.0,0.008,0,1.0,100.0,0.0
118,6,1.0,0.0,0.4254926487173704,1.0,0.008,0,1.0,100.0,0.0
122,6,1.0,0.0,0.35659359812988295,1.0,0.008,0,1.0,100.0,0.0
123,6,0.16665,0.83335,0.35228740746816495,1.0,0.008,1,1.0,16.665,0.83335
125,6,1.0,0.0,0.37356203990403347,1.0,0.008,0,1.0,100.0,0.0
132,6,1.0,0.0,0.36602620624602705,1.0,0.008,0,1.0,100.0,0.0
140,6,1.0,0.0,0.4084729427686756,1.0,0.008,0,1.0,100.0,0.0
168,6,1.0,0.4151,0.39304242623085284,1.0,0.008,0,1.0,100.0,0.4151
188,6,1.0,0.8,0.3943240305944594,1.0,0.008,0,1.0,100.0,0.8
194,6,1.0,0.6154,0.3440338753665389,1.0,0.008,0,1.0,100.0,0.6154
195,6,1.0,0.6667,0.4843439210941826,1.0,0.008,0,1.0,100.0,0.6667
198,6,1.0,0.0,0.2954867020731233,1.0,0.008,0,1.0,100.0,0.0
206,6,1.0,0.0,0.40136431056520466,1.0,0.008,0,1.0,100.0,0.0
207,6,1.0,0.0714,0.34415349177380883,1.0,0.008,0,1.0,100.0,0.0714
208,6,1.0,0.0,0.34264974265384385,1.0,0.008,0,1.0,100.0,0.0
217,6,1.0,0.0,0.4232370250374229,1.0,0.008,0,1.0,100.0,0.0
218,6,1.0,0.0746,0.3926276524549947,1.0,0.008,0,1.0,100.0,0.0746
220,6,1.0,0.0,0.4360188925571254,1.0,0.008,1,1.0,100.0,0.0
228,6,1.0,0.0,0.4139069452703673,1.0,0.008,0,1.0,100.0,0.0
