cycle_id,node_id,agent,gate_fired,action,delta,final_delta
1,84,sp,False,,0.0,0.0
1,84,als,False,,0.0,0.0
1,84,fs,False,,0.0,0.0
1,84,igh,False,,0.0,0.0
1,85,sp,False,,0.0,0.0
1,85,als,False,,0.0,0.0
1,85,fs,False,,0.0,0.0
1,85,igh,False,,0.0,0.0
1,86,sp,False,,0.0,0.0
1,86,als,False,,0.0,0.0
1,86,fs,False,,0.0,0.0
1,86,igh,False,,0.0,0.0
1,87,sp,False,,0.0,0.0
1,87,als,False,,0.0,0.0
1,87,fs,False,,0.0,0.0
1,87,igh,False,,0.0,0.0
1,88,sp,False,,0.0,0.0
1,88,als,False,,0.0,0.0
1,88,fs,False,,0.0,0.0
1,88,igh,False,,0.0,0.0
1,89,sp,False,,0.0,0.0
1,89,als,False,,0.0,0.0
1,89,fs,False,,0.0,0.0
1,89,igh,False,,0.0,0.0
1,90,sp,False,,0.0,0.0
1,90,als,False,,0.0,0.0
1,90,fs,False,,0.0,0.0
1,90,igh,False,,0.0,0.0
1,91,sp,False,,0.0,0.0
1,91,als,False,,0.0,0.0
1,91,fs,False,,0.0,0.0
1,91,igh,False,,0.0,0.0
1,92,sp,False,,0.0,0.0
1,92,als,False,,0.0,0.0
1,92,fs,False,,0.0,0.0
1,92,igh,False,,0.0,0.0
1,93,sp,False,,0.0,0.0
1,93,als,False,,0.0,0.0
1,93,fs,False,,0.0,0.0
1,93,igh,False,,0.0,0.0
1,94,sp,False,,0.0,0.0
1,94,als,False,,0.0,0.0
1,94,fs,False,,0.0,0.0
1,94,igh,False,,0.0,0.0
1,95,sp,False,,0.0,0.0
1,95,als,False,,0.0,0.0
1,95,fs,False,,0.0,0.0
1,95,igh,False,,0.0,0.0
1,96,sp,False,,0.0,0.0
1,96,als,False,,0.0,0.0
1,96,fs,False,,0.0,0.0
1,96,igh,False,,0.0,0.0
1,97,sp,False,,0.0,0.0
1,97,als,False,,0.0,0.0
1,97,fs,False,,0.0,0.0
1,97,igh,False,,0.0,0.0
1,98,sp,False,,0.0,0.0
1,98,als,False,,0.0,0.0
1,98,fs,False,,0.0,0.0
1,98,igh,False,,0.0,0.0
1,99,sp,False,,0.0,0.0
1,99,als,False,,0.0,0.0
1,99,fs,False,,0.0,0.0
1,99,igh,False,,0.0,0.0
1,100,sp,False,,0.0,0.0
1,100,als,False,,0.0,0.0
1,100,fs,False,,0.0,0.0
1,100,igh,False,,0.0,0.0
1,101,sp,False,,0.0,0.0
1,101,als,False,,0.0,0.0
1,101,fs,False,,0.0,0.0
1,101,igh,False,,0.0,0.0
1,102,sp,False,,0.0,0.0
1,102,als,False,,0.0,0.0
1,102,fs,False,,0.0,0.0
1,102,igh,False,,0.0,0.0
1,103,sp,False,,0.0,0.0
1,103,als,False,,0.0,0.0
1,103,fs,False,,0.0,0.0
1,103,igh,False,,0.0,0.0
1,104,sp,False,,0.0,0.0
1,104,als,False,,0.0,0.0
1,104,fs,False,,0.0,0.0
1,104,igh,False,,0.0,0.0
