time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms
83.0000,24,188,11,55,0.3039,0.0569,0.6813,0.4203,0.3346,641.5759,0.0000,0.0000,0.6961,0.9431,0.7301,18.5863
83.5000,23,187,12,56,0.2922,0.0647,0.6437,0.4019,0.3059,641.5759,0.0000,0.0000,0.7078,0.9353,0.7209,19.2474
84.0000,22,187,12,57,0.2867,0.0628,0.6461,0.3972,0.3040,641.5759,0.0000,0.0000,0.7133,0.9372,0.7204,21.8870
84.5000,21,187,12,58,0.2680,0.0644,0.6248,0.3751,0.2805,641.5759,0.0000,0.0000,0.7320,0.9356,0.7131,19.0210
85.0000,24,187,12,55,0.3031,0.0634,0.6565,0.4148,0.3200,641.5759,0.0000,0.0000,0.6969,0.9366,0.7254,17.9862
85.5000,24,187,12,55,0.3031,0.0634,0.6565,0.4148,0.3200,641.5759,0.0000,0.0000,0.6969,0.9366,0.7254,20.5154
86.0000,23,187,12,56,0.2969,0.0644,0.6485,0.4073,0.3115,641.5759,0.0000,0.0000,0.7031,0.9356,0.7227,20.7258
86.5000,23,188,12,56,0.2977,0.0600,0.6649,0.4112,0.3215,641.5759,0.0000,0.0000,0.7023,0.9400,0.7259,21.9504
87.0000,23,186,13,56,0.2961,0.0688,0.6327,0.4034,0.3018,641.5759,0.0000,0.0000,0.7039,0.9313,0.7195,17.9552
87.5000,22,186,13,57,0.2797,0.0681,0.6215,0.3858,0.2855,641.5759,0.0000,0.0000,0.7203,0.9319,0.7145,18.9256
88.0000,21,187,12,58,0.2695,0.0609,0.6389,0.3791,0.2894,641.5759,0.0000,0.0000,0.7305,0.9391,0.7159,19.9227
88.5000,22,187,12,57,0.2836,0.0641,0.6391,0.3929,0.2981,641.5759,0.0000,0.0000,0.7164,0.9359,0.7185,18.1035
89.0000,23,187,12,56,0.2969,0.0619,0.6574,0.4090,0.3167,641.5759,0.0000,0.0000,0.7031,0.9381,0.7244,22.3095
89.5000,23,185,14,56,0.2945,0.0747,0.6120,0.3977,0.2884,641.5759,0.0000,0.0000,0.7055,0.9253,0.7151,20.3669
90.0000,25,186,13,55,0.3125,0.0669,0.6515,0.4224,0.3227,641.5759,0.0000,0.0000,0.6875,0.9331,0.7262,20.8621
90.5000,24,186,13,55,0.3086,0.0656,0.6529,0.4191,0.3212,641.5759,0.0000,0.0000,0.6914,0.9344,0.7258,19.7896
91.0000,22,187,12,57,0.2812,0.0631,0.6406,0.3909,0.2975,641.5759,0.0000,0.0000,0.7188,0.9369,0.7183,21.5715
91.5000,23,187,12,56,0.2984,0.0606,0.6632,0.4116,0.3210,641.5759,0.0000,0.0000,0.7016,0.9394,0.7257,20.5690
92.0000,24,187,12,55,0.3117,0.0631,0.6639,0.4242,0.3295,641.5759,0.0000,0.0000,0.6883,0.9369,0.7285,21.3684
92.5000,21,186,13,58,0.2742,0.0675,0.6190,0.3801,0.2809,641.5759,0.0000,0.0000,0.7258,0.9325,0.7131,20.9522
93.0000,24,186,13,55,0.3094,0.0653,0.6545,0.4202,0.3226,641.5759,0.0000,0.0000,0.6906,0.9347,0.7262,20.0875
93.5000,22,187,12,57,0.2844,0.0638,0.6408,0.3939,0.2995,641.5759,0.0000,0.0000,0.7156,0.9363,0.7190,22.2652
94.0000,24,187,12,55,0.3031,0.0631,0.6576,0.4150,0.3206,641.5759,0.0000,0.0000,0.6969,0.9369,0.7256,19.9593
94.5000,22,185,14,57,0.2859,0.0706,0.6182,0.3910,0.2872,641.5759,0.0000,0.0000,0.7141,0.9294,0.7149,18.4803
95.0000,24,186,13,55,0.3078,0.0663,0.6502,0.4178,0.3191,641.5759,0.0000,0.0000,0.6922,0.9337,0.7251,21.4257
95.5000,24,186,13,55,0.3008,0.0678,0.6395,0.4091,0.3086,641.5759,0.0000,0.0000,0.6992,0.9322,0.7217,19.4817
96.0000,23,186,13,56,0.2969,0.0675,0.6376,0.4051,0.3051,641.5759,0.0000,0.0000,0.7031,0.9325,0.7206,19.1463
96.5000,24,187,12,55,0.3063,0.0622,0.6633,0.4190,0.3258,641.5759,0.0000,0.0000,0.6937,0.9378,0.7273,20.8557
97.0000,22,186,13,57,0.2789,0.0681,0.6209,0.3849,0.2847,641.5759,0.0000,0.0000,0.7211,0.9319,0.7142,22.1858
97.5000,23,188,11,56,0.2984,0.0578,0.6737,0.4136,0.3269,641.5759,0.0000,0.0000,0.7016,0.9422,0.7276,19.1387
98.0000,24,185,14,55,0.3109,0.0731,0.6297,0.4163,0.3086,641.5759,0.0000,0.0000,0.6891,0.9269,0.7216,18.5168
98.5000,22,186,13,57,0.2820,0.0666,0.6289,0.3894,0.2912,641.5759,0.0000,0.0000,0.7180,0.9334,0.7163,18.0226
99.0000,23,187,12,56,0.2930,0.0616,0.6556,0.4050,0.3132,641.5759,0.0000,0.0000,0.7070,0.9384,0.7233,21.7763
99.5000,24,187,12,55,0.3023,0.0616,0.6627,0.4152,0.3231,641.5759,0.0000,0.0000,0.6977,0.9384,0.7264,19.4335
100.0000,23,187,12,56,0.2922,0.0647,0.6437,0.4019,0.3059,641.5759,0.0000,0.0000,0.7078,0.9353,0.7209,19.0938
100.5000,23,187,12,56,0.2961,0.0609,0.6603,0.4088,0.3178,641.5759,0.0000,0.0000,0.7039,0.9391,0.7247,19.0146
101.0000,25,187,12,55,0.3125,0.0625,0.6667,0.4255,0.3316,641.5759,0.0000,0.0000,0.6875,0.9375,0.7292,21.7003
101.5000,23,187,12,56,0.2992,0.0631,0.6547,0.4107,0.3165,641.5759,0.0000,0.0000,0.7008,0.9369,0.7243,18.2145
102.0000,23,186,13,56,0.2992,0.0684,0.6362,0.4070,0.3057,641.5759,0.0000,0.0000,0.7008,0.9316,0.7208,21.4470
102.5000,25,188,11,54,0.3195,0.0569,0.6920,0.4372,0.3506,641.5759,0.0000,0.0000,0.6805,0.9431,0.7353,20.8539
103.0000,25,186,13,55,0.3125,0.0653,0.6568,0.4235,0.3258,641.5759,0.0000,0.0000,0.6875,0.9347,0.7273,20.3708
103.5000,21,186,13,58,0.2719,0.0653,0.6248,0.3789,0.2828,641.5759,0.0000,0.0000,0.7281,0.9347,0.7137,20.1575
