cycle_id,sim_time_s,detected_at,node_id,flow_id,attack_type,flow_fraction,pdrn,inbound_ratio
7,8.0001,2026-07-17 21:49:44,188,0,Interleaved_Jamming_Attack,1,0,3
7,8.0001,2026-07-17 21:49:44,195,0,Flow_Stretching_Attack,1,1,2
7,8.0001,2026-07-17 21:49:44,198,0,Interleaved_Jamming_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,240,0,Interleaved_Jamming_Attack,1,0,3
7,8.0001,2026-07-17 21:49:44,258,0,Split_Path_Attack,1,0,9
7,8.0001,2026-07-17 21:49:44,1,1,Interleaved_Jamming_Attack,1,0,4
7,8.0001,2026-07-17 21:49:44,12,1,Split_Path_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,30,1,Interleaved_Jamming_Attack,1,0,0.4
7,8.0001,2026-07-17 21:49:44,41,1,Split_Path_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,84,1,Flow_Stretching_Attack,1,1,2.5
7,8.0001,2026-07-17 21:49:44,111,1,Interleaved_Jamming_Attack,1,0,1
7,8.0001,2026-07-17 21:49:44,127,1,Split_Path_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,130,1,Interleaved_Jamming_Attack,1,0,5
7,8.0001,2026-07-17 21:49:44,152,1,Split_Path_Attack,1,0,3.5
7,8.0001,2026-07-17 21:49:44,198,1,Interleaved_Jamming_Attack,1,0,1
7,8.0001,2026-07-17 21:49:44,240,1,Interleaved_Jamming_Attack,1,0,2
7,8.0001,2026-07-17 21:49:44,274,1,Split_Path_Attack,1,0,3
8,9.0001,2026-07-17 21:50:11,1,0,Interleaved_Jamming_Attack,1,0,0.6667
8,9.0001,2026-07-17 21:50:11,38,0,Interleaved_Jamming_Attack,1,0,4
8,9.0001,2026-07-17 21:50:11,41,0,Split_Path_Attack,1,0,2.7143
8,9.0001,2026-07-17 21:50:11,75,0,Interleaved_Jamming_Attack,1,0,4
8,9.0001,2026-07-17 21:50:11,122,0,Flow_Stretching_Attack,1,1,2
8,9.0001,2026-07-17 21:50:11,123,0,Interleaved_Jamming_Attack,1,0,0.6
8,9.0001,2026-07-17 21:50:11,143,0,Interleaved_Jamming_Attack,1,0,2
8,9.0001,2026-07-17 21:50:11,155,0,Interleaved_Jamming_Attack,1,0,2
8,9.0001,2026-07-17 21:50:11,188,0,Interleaved_Jamming_Attack,1,0,1.8
8,9.0001,2026-07-17 21:50:11,198,0,Interleaved_Jamming_Attack,1,0,2
8,9.0001,2026-07-17 21:50:11,251,0,Interleaved_Jamming_Attack,1,0,4
8,9.0001,2026-07-17 21:50:11,1,1,Interleaved_Jamming_Attack,1,0,0.5
8,9.0001,2026-07-17 21:50:11,12,1,Interleaved_Jamming_Attack,1,0,0.5
8,9.0001,2026-07-17 21:50:11,27,1,Split_Path_Attack,1,0,3
8,9.0001,2026-07-17 21:50:11,30,1,Interleaved_Jamming_Attack,1,0,0.6667
8,9.0001,2026-07-17 21:50:11,38,1,Interleaved_Jamming_Attack,1,0,2.5
8,9.0001,2026-07-17 21:50:11,143,1,Interleaved_Jamming_Attack,1,0,20
8,9.0001,2026-07-17 21:50:11,155,1,Interleaved_Jamming_Attack,1,0,2
8,9.0001,2026-07-17 21:50:11,188,1,Interleaved_Jamming_Attack,1,0,2.6667
8,9.0001,2026-07-17 21:50:11,198,1,Interleaved_Jamming_Attack,1,0,2
8,9.0001,2026-07-17 21:50:11,228,1,Split_Path_Attack,0.3615,0.1,1.3
9,10.0001,2026-07-17 21:50:41,12,0,Interleaved_Jamming_Attack,1,0,1
9,10.0001,2026-07-17 21:50:41,27,0,Split_Path_Attack,1,0,3
9,10.0001,2026-07-17 21:50:41,41,0,Split_Path_Attack,1,0,2.5
9,10.0001,2026-07-17 21:50:41,44,0,Interleaved_Jamming_Attack,1,0,0.6667
9,10.0001,2026-07-17 21:50:41,63,0,Split_Path_Attack,1,0,9
9,10.0001,2026-07-17 21:50:41,79,0,Split_Path_Attack,1,0,8
9,10.0001,2026-07-17 21:50:41,122,0,Flow_Stretching_Attack,1,1,2
9,10.0001,2026-07-17 21:50:41,188,0,Interleaved_Jamming_Attack,1,0,2
9,10.0001,2026-07-17 21:50:41,195,0,Flow_Stretching_Attack,1,1,2
9,10.0001,2026-07-17 21:50:41,198,0,Interleaved_Jamming_Attack,0.6667,0.3333,1.3333
9,10.0001,2026-07-17 21:50:41,240,0,Interleaved_Jamming_Attack,1,0,3.5
9,10.0001,2026-07-17 21:50:41,249,0,Split_Path_Attack,1,0,1.6
9,10.0001,2026-07-17 21:50:41,250,0,Interleaved_Jamming_Attack,0.0606,0.3333,3.6667
9,10.0001,2026-07-17 21:50:41,251,0,Interleaved_Jamming_Attack,1,0,3
9,10.0001,2026-07-17 21:50:41,259,0,Interleaved_Jamming_Attack,1,0,6.5
9,10.0001,2026-07-17 21:50:41,31,1,Flow_Stretching_Attack,1,1,0.8
9,10.0001,2026-07-17 21:50:41,41,1,Split_Path_Attack,1,0,1.5
9,10.0001,2026-07-17 21:50:41,152,1,Split_Path_Attack,1,0,2.5
9,10.0001,2026-07-17 21:50:41,250,1,Interleaved_Jamming_Attack,1,0,1.5
9,10.0001,2026-07-17 21:50:41,251,1,Interleaved_Jamming_Attack,1,0,2
10,11.0001,2026-07-17 21:51:09,1,0,Interleaved_Jamming_Attack,1,0,3
10,11.0001,2026-07-17 21:51:09,5,0,Split_Path_Attack,1,0,3
10,11.0001,2026-07-17 21:51:09,12,0,Interleaved_Jamming_Attack,1,0,0.75
10,11.0001,2026-07-17 21:51:09,27,0,Split_Path_Attack,1,0,3
10,11.0001,2026-07-17 21:51:09,41,0,Split_Path_Attack,1,0,1.6667
10,11.0001,2026-07-17 21:51:09,42,0,Interleaved_Jamming_Attack,1,0,1
10,11.0001,2026-07-17 21:51:09,44,0,Interleaved_Jamming_Attack,1,0,2
10,11.0001,2026-07-17 21:51:09,75,0,Interleaved_Jamming_Attack,0.0833,0.16670000000000001,1.3333
10,11.0001,2026-07-17 21:51:09,122,0,Flow_Stretching_Attack,1,1,2
10,11.0001,2026-07-17 21:51:09,123,0,Interleaved_Jamming_Attack,1,0,4
10,11.0001,2026-07-17 21:51:09,130,0,Interleaved_Jamming_Attack,1,0,3
10,11.0001,2026-07-17 21:51:09,155,0,Interleaved_Jamming_Attack,1,0,4
10,11.0001,2026-07-17 21:51:09,195,0,Flow_Stretching_Attack,1,1,2
10,11.0001,2026-07-17 21:51:09,198,0,Interleaved_Jamming_Attack,1,0,2
10,11.0001,2026-07-17 21:51:09,239,0,Interleaved_Jamming_Attack,1,0,3
10,11.0001,2026-07-17 21:51:09,250,0,Interleaved_Jamming_Attack,1,0,3.6667
10,11.0001,2026-07-17 21:51:09,262,0,Flow_Stretching_Attack,1,1,1.3333
10,11.0001,2026-07-17 21:51:09,31,1,Flow_Stretching_Attack,1,1,2
10,11.0001,2026-07-17 21:51:09,41,1,Split_Path_Attack,0.95,0.05,0.45
10,11.0001,2026-07-17 21:51:09,84,1,Flow_Stretching_Attack,1,1,0.6667
10,11.0001,2026-07-17 21:51:09,127,1,Split_Path_Attack,1,0,2
10,11.0001,2026-07-17 21:51:09,130,1,Interleaved_Jamming_Attack,1,0,6
10,11.0001,2026-07-17 21:51:09,152,1,Split_Path_Attack,1,0,2.5
10,11.0001,2026-07-17 21:51:09,197,1,Split_Path_Attack,1,0,0.5
11,12.0001,2026-07-17 21:51:36,12,0,Interleaved_Jamming_Attack,1,0,1.3333
11,12.0001,2026-07-17 21:51:36,27,0,Split_Path_Attack,1,0,4
11,12.0001,2026-07-17 21:51:36,38,0,Interleaved_Jamming_Attack,1,0,1
11,12.0001,2026-07-17 21:51:36,42,0,Interleaved_Jamming_Attack,1,0,2
11,12.0001,2026-07-17 21:51:36,118,0,Interleaved_Jamming_Attack,1,0,2
11,12.0001,2026-07-17 21:51:36,122,0,Flow_Stretching_Attack,1,1,2
11,12.0001,2026-07-17 21:51:36,143,0,Interleaved_Jamming_Attack,1,0,3.5
11,12.0001,2026-07-17 21:51:36,152,0,Split_Path_Attack,1,0,0.5
11,12.0001,2026-07-17 21:51:36,155,0,Interleaved_Jamming_Attack,1,0,3
11,12.0001,2026-07-17 21:51:36,195,0,Flow_Stretching_Attack,1,1,3
11,12.0001,2026-07-17 21:51:36,239,0,Interleaved_Jamming_Attack,1,0,2.5
11,12.0001,2026-07-17 21:51:36,240,0,Interleaved_Jamming_Attack,1,0,2.6667
11,12.0001,2026-07-17 21:51:36,251,0,Interleaved_Jamming_Attack,1,0,1.2222
11,12.0001,2026-07-17 21:51:36,12,1,Interleaved_Jamming_Attack,1,0,1
11,12.0001,2026-07-17 21:51:36,38,1,Interleaved_Jamming_Attack,1,0,1
11,12.0001,2026-07-17 21:51:36,41,1,Interleaved_Jamming_Attack,1,0,1.7
11,12.0001,2026-07-17 21:51:36,42,1,Interleaved_Jamming_Attack,1,0,1
11,12.0001,2026-07-17 21:51:36,118,1,Interleaved_Jamming_Attack,1,0,2
11,12.0001,2026-07-17 21:51:36,122,1,Flow_Stretching_Attack,1,1,2
11,12.0001,2026-07-17 21:51:36,143,1,Interleaved_Jamming_Attack,1,0,6
11,12.0001,2026-07-17 21:51:36,152,1,Split_Path_Attack,1,0,15
11,12.0001,2026-07-17 21:51:36,155,1,Interleaved_Jamming_Attack,1,0,3
11,12.0001,2026-07-17 21:51:36,195,1,Flow_Stretching_Attack,1,1,3
11,12.0001,2026-07-17 21:51:36,240,1,Interleaved_Jamming_Attack,1,0,2
11,12.0001,2026-07-17 21:51:36,251,1,Interleaved_Jamming_Attack,1,0,2.3333
12,13.0001,2026-07-17 21:52:05,1,0,Interleaved_Jamming_Attack,1,0,0.5
12,13.0001,2026-07-17 21:52:05,12,0,Interleaved_Jamming_Attack,1,0,2
12,13.0001,2026-07-17 21:52:05,27,0,Split_Path_Attack,1,0,1
12,13.0001,2026-07-17 21:52:05,38,0,Interleaved_Jamming_Attack,1,0,1
12,13.0001,2026-07-17 21:52:05,41,0,Interleaved_Jamming_Attack,1,0,1
12,13.0001,2026-07-17 21:52:05,75,0,Interleaved_Jamming_Attack,0.4556,0.1,0.9
12,13.0001,2026-07-17 21:52:05,118,0,Interleaved_Jamming_Attack,1,0,2
12,13.0001,2026-07-17 21:52:05,122,0,Flow_Stretching_Attack,1,1,2
12,13.0001,2026-07-17 21:52:05,143,0,Interleaved_Jamming_Attack,1,0,3
12,13.0001,2026-07-17 21:52:05,155,0,Interleaved_Jamming_Attack,1,0,3
12,13.0001,2026-07-17 21:52:05,188,0,Interleaved_Jamming_Attack,1,0,2
12,13.0001,2026-07-17 21:52:05,239,0,Interleaved_Jamming_Attack,1,0,10
12,13.0001,2026-07-17 21:52:05,249,0,Split_Path_Attack,1,0,6
12,13.0001,2026-07-17 21:52:05,251,0,Interleaved_Jamming_Attack,1,0,3
12,13.0001,2026-07-17 21:52:05,27,1,Split_Path_Attack,1,0,5
12,13.0001,2026-07-17 21:52:05,226,1,Flow_Stretching_Attack,1,1,0.8571
12,13.0001,2026-07-17 21:52:05,228,1,Split_Path_Attack,0.1966,0.11109999999999999,1.4444
12,13.0001,2026-07-17 21:52:05,239,1,Interleaved_Jamming_Attack,1,0,0.9444
12,13.0001,2026-07-17 21:52:05,249,1,Split_Path_Attack,0.0317,0.1429,1.2857
13,14.0001,2026-07-17 21:52:35,1,0,Interleaved_Jamming_Attack,1,0,2
13,14.0001,2026-07-17 21:52:35,5,0,Split_Path_Attack,1,0,1
13,14.0001,2026-07-17 21:52:35,12,0,Interleaved_Jamming_Attack,1,0,2
13,14.0001,2026-07-17 21:52:35,27,0,Split_Path_Attack,1,0,2
13,14.0001,2026-07-17 21:52:35,30,0,Interleaved_Jamming_Attack,1,0,1.3333
13,14.0001,2026-07-17 21:52:35,38,0,Interleaved_Jamming_Attack,1,0,2
13,14.0001,2026-07-17 21:52:35,41,0,Interleaved_Jamming_Attack,1,0,7
13,14.0001,2026-07-17 21:52:35,67,0,Interleaved_Jamming_Attack,1,0,2
13,14.0001,2026-07-17 21:52:35,108,0,Interleaved_Jamming_Attack,1,0,3.6667
13,14.0001,2026-07-17 21:52:35,111,0,Interleaved_Jamming_Attack,1,0,5
13,14.0001,2026-07-17 21:52:35,122,0,Flow_Stretching_Attack,1,1,3
13,14.0001,2026-07-17 21:52:35,155,0,Interleaved_Jamming_Attack,1,0,4
13,14.0001,2026-07-17 21:52:35,188,0,Interleaved_Jamming_Attack,1,0,2
