time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
76.0000,13,185,15,67,0.1625,0.0750,0.4643,0.2407,0.1318,265.0882,0.8375,0.1625,0.5582,0.9250,0.6708,27.6752,265.0882,253.0882,0.7278
76.5000,22,187,13,58,0.2750,0.0650,0.6286,0.3826,0.2869,272.0185,0.7250,0.2750,0.5466,0.9350,0.7150,23.9496,272.0185,260.0185,0.7370
77.0000,12,192,8,68,0.1500,0.0400,0.6000,0.2400,0.1930,263.6600,0.8500,0.1500,0.5606,0.9600,0.6900,24.9427,263.6600,251.6600,0.7264
77.5000,19,190,10,61,0.2375,0.0500,0.6552,0.3486,0.2780,266.0312,0.7625,0.2375,0.5566,0.9500,0.7125,26.7721,266.0312,254.0312,0.7355
78.0000,11,190,10,69,0.1375,0.0500,0.5238,0.2178,0.1501,268.4658,0.8625,0.1375,0.5526,0.9500,0.6792,23.6656,268.4658,256.4658,0.7307
78.5000,12,189,11,68,0.1500,0.0550,0.5217,0.2330,0.1563,266.6624,0.8500,0.1500,0.5556,0.9450,0.6800,23.1839,266.6624,254.6624,0.7356
79.0000,15,193,7,65,0.1875,0.0350,0.6818,0.2941,0.2560,268.6086,0.8125,0.1875,0.5523,0.9650,0.7058,22.9372,268.6086,256.6086,0.7335
79.5000,13,187,13,67,0.1625,0.0650,0.5000,0.2453,0.1518,267.2350,0.8375,0.1625,0.5546,0.9350,0.6775,26.9890,267.2350,255.2350,0.7327
80.0000,16,190,10,64,0.2000,0.0500,0.6154,0.3019,0.2335,263.4896,0.8000,0.2000,0.5609,0.9500,0.7000,26.5846,263.4896,251.4896,0.7334
80.5000,13,191,9,67,0.1625,0.0450,0.5909,0.2549,0.1973,268.8860,0.8375,0.1625,0.5519,0.9550,0.6908,25.2169,268.8860,256.8860,0.7312
81.0000,13,185,15,67,0.1625,0.0750,0.4643,0.2407,0.1318,264.9637,0.8375,0.1625,0.5584,0.9250,0.6708,27.0710,264.9637,252.9637,0.7365
81.5000,17,192,8,63,0.2125,0.0400,0.6800,0.3238,0.2733,268.3928,0.7875,0.2125,0.5527,0.9600,0.7108,26.7643,268.3928,256.3928,0.7243
82.0000,16,187,13,64,0.2000,0.0650,0.5517,0.2936,0.2002,263.7415,0.8000,0.2000,0.5604,0.9350,0.6900,26.9988,263.7415,251.7415,0.7482
82.5000,12,189,11,68,0.1500,0.0550,0.5217,0.2330,0.1563,268.1563,0.8500,0.1500,0.5531,0.9450,0.6800,23.9002,268.1563,256.1563,0.7459
83.0000,5,186,14,75,0.0625,0.0700,0.2632,0.1010,-0.0135,264.1472,0.9375,0.0625,0.5598,0.9300,0.6408,26.9246,264.1472,252.1472,0.7383
83.5000,13,185,15,67,0.1625,0.0750,0.4643,0.2407,0.1318,266.5996,0.8375,0.1625,0.5557,0.9250,0.6708,27.4518,266.5996,254.5996,0.7284
84.0000,9,185,15,71,0.1125,0.0750,0.3750,0.1731,0.0605,269.5602,0.8875,0.1125,0.5507,0.9250,0.6542,24.8484,269.5602,257.5602,0.7277
84.5000,11,185,15,69,0.1375,0.0750,0.4231,0.2075,0.0973,263.1607,0.8625,0.1375,0.5614,0.9250,0.6625,26.1346,263.1607,251.1607,0.7500
