cycle,timestamp,flow_id,src,dst,from_node,to_node,delta_value
3,3.2985,2,84,12,130,44,1.0
3,3.2985,2,84,12,132,44,1.0
3,3.2985,2,84,12,140,44,1.0
3,3.2985,2,84,12,143,44,1.0
3,3.2985,2,84,12,152,121,0.1
3,3.2985,2,84,12,152,193,0.1
3,3.2985,2,84,12,152,6,0.1
3,3.2985,2,84,12,152,168,0.1
3,3.2985,2,84,12,152,262,0.1
3,3.2985,2,84,12,152,112,0.5
3,3.2985,2,84,12,154,44,0.25
3,3.2985,2,84,12,154,155,0.75
3,3.2985,2,84,12,155,12,0.111111
3,3.2985,2,84,12,155,241,0.111111
3,3.2985,2,84,12,155,123,0.222222
3,3.2985,2,84,12,155,44,0.555556
3,3.2985,2,84,12,168,121,0.142857
3,3.2985,2,84,12,168,198,0.142857
3,3.2985,2,84,12,168,41,0.142857
3,3.2985,2,84,12,168,251,0.142857
3,3.2985,2,84,12,168,111,0.142857
3,3.2985,2,84,12,168,112,0.285714
3,3.2985,2,84,12,184,5,1.0
3,3.2985,2,84,12,193,262,0.166667
3,3.2985,2,84,12,193,251,0.166667
3,3.2985,2,84,12,193,112,0.666667
3,3.2985,2,84,12,195,44,1.0
3,3.2985,2,84,12,198,44,1.0
3,3.2985,2,84,12,228,123,1.0
3,3.2985,2,84,12,239,240,1.0
3,3.2985,2,84,12,240,123,1.0
3,3.2985,2,84,12,241,12,1.0
3,3.2985,2,84,12,250,168,1.0
3,3.2985,2,84,12,251,12,0.04
3,3.2985,2,84,12,251,70,0.12
3,3.2985,2,84,12,251,240,0.12
3,3.2985,2,84,12,251,122,0.12
3,3.2985,2,84,12,251,143,0.12
3,3.2985,2,84,12,251,130,0.12
3,3.2985,2,84,12,251,155,0.12
3,3.2985,2,84,12,251,67,0.24
3,3.2985,2,84,12,252,253,1.0
3,3.2985,2,84,12,253,38,1.0
3,3.2985,2,84,12,261,112,1.0
3,3.2985,2,84,12,262,121,0.111111
3,3.2985,2,84,12,262,168,0.222222
3,3.2985,2,84,12,262,112,0.222222
3,3.2985,2,84,12,262,251,0.444444
3,3.2985,2,84,12,263,252,1.0
3,3.2985,2,84,12,264,253,1.0
3,3.2985,2,84,12,272,273,1.0
3,3.2985,2,84,12,273,62,0.2
3,3.2985,2,84,12,273,152,0.2
3,3.2985,2,84,12,273,262,0.2
3,3.2985,2,84,12,273,112,0.4
3,3.2985,2,84,12,274,22,1.0
3,3.2985,2,84,12,275,264,1.0
3,3.2985,2,84,12,284,126,0.4
3,3.2985,2,84,12,284,273,0.6
