time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,trust_score,cnn_conf
71.5000,59,188,12,21,0.7375,0.0600,0.8310,0.7815,0.7035,157.5000,0.2625,0.7375,0.2625,0.9400,0.8725,25.3569,0.6293,0.4393
72.0000,53,192,8,27,0.6625,0.0400,0.8689,0.7518,0.6813,202.5000,0.3375,0.6625,0.3375,0.9600,0.8608,23.6494,0.6404,0.4504
72.5000,54,190,10,26,0.6750,0.0500,0.8438,0.7500,0.6724,195.0000,0.3250,0.6750,0.3250,0.9500,0.8583,23.8860,0.6122,0.4222
73.0000,54,190,10,26,0.6750,0.0500,0.8438,0.7500,0.6724,195.0000,0.3250,0.6750,0.3250,0.9500,0.8583,23.0997,0.6446,0.4546
73.5000,58,186,14,22,0.7250,0.0700,0.8056,0.7632,0.6770,165.0000,0.2750,0.7250,0.2750,0.9300,0.8617,24.8614,0.6213,0.4313
74.0000,57,193,7,23,0.7125,0.0350,0.8906,0.7917,0.7289,172.5000,0.2875,0.7125,0.2875,0.9650,0.8808,27.0183,0.6112,0.4212
74.5000,54,192,8,26,0.6750,0.0400,0.8710,0.7606,0.6909,195.0000,0.3250,0.6750,0.3250,0.9600,0.8650,24.6305,0.6433,0.4533
75.0000,52,194,6,28,0.6500,0.0300,0.8966,0.7536,0.6911,210.0000,0.3500,0.6500,0.3500,0.9700,0.8633,23.4136,0.6292,0.4392
75.5000,61,191,9,19,0.7625,0.0450,0.8714,0.8133,0.7486,142.5000,0.2375,0.7625,0.2375,0.9550,0.8908,27.2745,0.6468,0.4568
76.0000,52,186,14,28,0.6500,0.0700,0.7879,0.7123,0.6173,210.0000,0.3500,0.6500,0.3500,0.9300,0.8367,24.0442,0.6294,0.4394
76.5000,61,184,16,19,0.7625,0.0800,0.7922,0.7771,0.6905,142.5000,0.2375,0.7625,0.2375,0.9200,0.8675,25.3508,0.6230,0.4330
77.0000,53,193,7,27,0.6625,0.0350,0.8833,0.7571,0.6909,202.5000,0.3375,0.6625,0.3375,0.9650,0.8642,27.5784,0.6298,0.4398
77.5000,57,189,11,23,0.7125,0.0550,0.8382,0.7703,0.6927,172.5000,0.2875,0.7125,0.2875,0.9450,0.8675,28.0019,0.6265,0.4365
78.0000,57,190,10,23,0.7125,0.0500,0.8507,0.7755,0.7015,172.5000,0.2875,0.7125,0.2875,0.9500,0.8708,23.7060,0.6422,0.4522
78.5000,57,192,8,23,0.7125,0.0400,0.8769,0.7862,0.7196,172.5000,0.2875,0.7125,0.2875,0.9600,0.8775,28.0200,0.6358,0.4458
79.0000,62,195,5,18,0.7750,0.0250,0.9254,0.8435,0.7941,135.0000,0.2250,0.7750,0.2250,0.9750,0.9083,25.1824,0.6142,0.4242
79.5000,51,184,16,29,0.6375,0.0800,0.7612,0.6939,0.5903,217.5000,0.3625,0.6375,0.3625,0.9200,0.8258,24.8968,0.6337,0.4437
80.0000,59,186,14,21,0.7375,0.0700,0.8082,0.7712,0.6869,157.5000,0.2625,0.7375,0.2625,0.9300,0.8658,22.7024,0.6452,0.4552
80.5000,49,192,8,31,0.6125,0.0400,0.8596,0.7153,0.6423,232.5000,0.3875,0.6125,0.3875,0.9600,0.8442,26.8449,0.6222,0.4322
81.0000,56,193,7,24,0.7000,0.0350,0.8889,0.7832,0.7194,180.0000,0.3000,0.7000,0.3000,0.9650,0.8767,27.5114,0.6233,0.4333
81.5000,63,190,10,17,0.7875,0.0500,0.8630,0.8235,0.7589,127.5000,0.2125,0.7875,0.2125,0.9500,0.8958,25.5452,0.6423,0.4523
82.0000,52,186,14,28,0.6500,0.0700,0.7879,0.7123,0.6173,210.0000,0.3500,0.6500,0.3500,0.9300,0.8367,27.5790,0.6323,0.4423
82.5000,61,189,11,19,0.7625,0.0550,0.8472,0.8026,0.7313,142.5000,0.2375,0.7625,0.2375,0.9450,0.8842,25.9113,0.6429,0.4529
83.0000,57,190,10,23,0.7125,0.0500,0.8507,0.7755,0.7015,172.5000,0.2875,0.7125,0.2875,0.9500,0.8708,22.7939,0.6470,0.4570
83.5000,52,184,16,28,0.6500,0.0800,0.7647,0.7027,0.6005,210.0000,0.3500,0.6500,0.3500,0.9200,0.8300,24.4382,0.6178,0.4278
84.0000,62,191,9,18,0.7750,0.0450,0.8732,0.8212,0.7580,135.0000,0.2250,0.7750,0.2250,0.9550,0.8950,23.7188,0.6240,0.4340
84.5000,53,191,9,27,0.6625,0.0450,0.8548,0.7465,0.6719,202.5000,0.3375,0.6625,0.3375,0.9550,0.8575,26.4521,0.6297,0.4397
85.0000,50,191,9,30,0.6250,0.0450,0.8475,0.7194,0.6425,225.0000,0.3750,0.6250,0.3750,0.9550,0.8450,25.3301,0.6228,0.4328
85.5000,56,191,9,24,0.7000,0.0450,0.8615,0.7724,0.7009,180.0000,0.3000,0.7000,0.3000,0.9550,0.8700,26.0579,0.6183,0.4283
86.0000,54,189,11,26,0.6750,0.0550,0.8308,0.7448,0.6634,195.0000,0.3250,0.6750,0.3250,0.9450,0.8550,27.4223,0.6202,0.4302
